#Zini,#Age,#Mini,#Mass,#logL,#logTe,#logg,#label,#McoreTP,#C_O,#period0,#period1,#pmode,#Mloss,#tau1m,#X,#Y,#Xc,#Xn,#Xo,#Cexcess,#Z,#mbolmag,#Gmag,#G_BPmag,#G_RPmag
0.008,112000000,2.099999905,2.1,1.419,4.0249,4.393,1,0,0.537,0,0,-1,-1E-30,0,0.7315,0.2606,0.001409,0.0003848,0.003495,-1,0.007957,1.222,1.576,1.548,1.62
0.008,112000000,2.150000095,2.149,1.46,4.0318,4.389,1,0,0.537,0,0,-1,-1E-30,0,0.7315,0.2606,0.001409,0.0003847,0.003495,-1,0.0079,1.119,1.507,1.474,1.556
0.008,112000000,2.200000048,2.199,1.501,4.0383,4.385,1,0,0.537,0,0,-1,-1E-30,0,0.7315,0.2606,0.001409,0.0003847,0.003495,-1,0.007929,1.018,1.438,1.402,1.493
0.008,112000000,2.25,2.249,1.541,4.0447,4.38,1,0,0.538,0,0,-1,-1E-30,0,0.7315,0.2605,0.001409,0.0003847,0.003495,-1,0.00792,0.918,1.371,1.332,1.43
0.008,112000000,2.299999952,2.299,1.58,4.0509,4.375,1,0,0.537,0,0,-1,-1E-30,0,0.7315,0.2605,0.001409,0.0003847,0.003495,-1,0.007945,0.821,1.306,1.263,1.369
0.008,112000000,2.349999905,2.349,1.617,4.0567,4.37,1,0,0.537,0,0,-1,-1E-30,0,0.7315,0.2605,0.001409,0.0003847,0.003494,-1,0.007988,0.726,1.241,1.196,1.309
0.008,112000000,2.375301123,2.375,1.636,4.0596,4.368,1,0,0.538,0,0,-1,-1E-30,0,0.7316,0.2605,0.001409,0.0003847,0.003494,-1,0.007942,0.679,1.209,1.162,1.279
0.008,112000000,2.400000095,2.4,1.655,4.0624,4.365,1,0,0.538,0,0,-1,-1E-30,0,0.7316,0.2605,0.001409,0.0003846,0.003494,-1,0.007903,0.633,1.178,1.13,1.249
0.008,112000000,2.599999905,2.601,1.797,4.0841,4.344,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,0.277,0.937,0.877,1.021
0.008,112000000,2.672440529,2.673,1.847,4.0913,4.335,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,0.153,0.852,0.789,0.94
0.008,112000000,2.799999952,2.801,1.932,4.1034,4.319,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-0.059,0.706,0.637,0.801
0.008,112000000,2.888688564,2.89,1.989,4.1112,4.307,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-0.201,0.607,0.535,0.706
0.008,112000000,3,3.001,2.059,4.1204,4.29,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-0.377,0.483,0.407,0.588
0.008,112000000,3.097019196,3.098,2.118,4.1282,4.275,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-0.526,0.378,0.298,0.487
0.008,112000000,3.197918654,3.198,2.18,4.1357,4.258,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-0.679,0.268,0.184,0.38
0.008,112000000,3.200000048,3.2,2.181,4.1359,4.258,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-0.682,0.265,0.181,0.378
0.008,112000000,3.365648508,3.365,2.279,4.1472,4.227,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-0.927,0.085,-0.004,0.204
0.008,112000000,3.400000095,3.399,2.299,4.1495,4.22,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-0.977,0.048,-0.042,0.168
0.008,112000000,3.448954105,3.448,2.327,4.1525,4.211,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-1.047,-0.005,-0.096,0.117
0.008,112000000,3.587240934,3.586,2.405,4.1604,4.181,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-1.244,-0.156,-0.251,-0.03
0.008,112000000,3.599999905,3.599,2.413,4.161,4.177,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-1.262,-0.171,-0.266,-0.045
0.008,112000000,3.710580111,3.709,2.476,4.1661,4.148,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-1.42,-0.3,-0.398,-0.171
0.008,112000000,3.799999952,3.799,2.527,4.1696,4.121,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-1.547,-0.407,-0.506,-0.276
0.008,112000000,3.875912666,3.876,2.57,4.1723,4.098,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-1.654,-0.498,-0.599,-0.366
0.008,112000000,3.964249373,3.966,2.619,4.1749,4.069,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-1.778,-0.607,-0.709,-0.474
0.008,112000000,4,4.002,2.64,4.1756,4.055,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-1.829,-0.655,-0.757,-0.521
0.008,112000000,4.036988258,4.038,2.661,4.1762,4.04,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-1.882,-0.704,-0.806,-0.569
0.008,112000000,4.111492634,4.112,2.703,4.1766,4.007,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-1.988,-0.808,-0.911,-0.673
0.008,112000000,4.199227333,4.198,2.754,4.1763,3.964,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-2.115,-0.937,-1.04,-0.803
0.008,112000000,4.199999809,4.199,2.754,4.1763,3.964,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-2.116,-0.938,-1.041,-0.804
0.008,112000000,4.278382778,4.277,2.8,4.1748,3.92,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-2.23,-1.062,-1.164,-0.928
0.008,112000000,4.344660282,4.343,2.839,4.1722,3.877,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-2.329,-1.176,-1.278,-1.044
0.008,112000000,4.400000095,4.398,2.873,4.1687,3.835,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-2.412,-1.281,-1.38,-1.15
0.008,112000000,4.422400951,4.421,2.886,4.1673,3.818,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-2.446,-1.322,-1.422,-1.193
0.008,112000000,4.490400314,4.489,2.928,4.1613,3.76,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-2.549,-1.461,-1.558,-1.335
0.008,112000000,4.544962406,4.543,2.962,4.1545,3.704,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-2.634,-1.587,-1.68,-1.464
0.008,112000000,4.593488693,4.592,2.993,4.1473,3.649,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-2.711,-1.706,-1.797,-1.588
0.008,112000000,4.599999905,4.599,2.997,4.1462,3.641,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-2.722,-1.723,-1.813,-1.605
0.008,112000000,4.617906094,4.617,3.008,4.1434,3.62,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-2.751,-1.769,-1.857,-1.652
0.008,112000000,4.660566807,4.659,3.039,4.1358,3.563,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-2.827,-1.889,-1.974,-1.777
0.008,112000000,4.688576698,4.687,3.061,4.1329,3.532,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-2.882,-1.961,-2.045,-1.85
0.008,112000000,4.704436779,4.703,3.08,4.1397,3.541,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-2.931,-1.971,-2.058,-1.856
0.008,112000000,4.712962627,4.712,3.097,4.1503,3.567,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-2.973,-1.951,-2.043,-1.831
0.008,112000000,4.716162682,4.715,3.111,4.161,3.596,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-3.007,-1.924,-2.02,-1.798
0.008,112000000,4.717608452,4.716,3.125,4.1709,3.622,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-3.042,-1.901,-2.002,-1.769
0.008,112000000,4.71846199,4.717,3.141,4.1808,3.646,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-3.083,-1.883,-1.989,-1.747
0.008,112000000,4.718971252,4.718,3.156,4.189,3.663,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-3.121,-1.873,-1.982,-1.732
0.008,112000000,4.719113827,4.718,3.159,4.1909,3.668,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-3.128,-1.869,-1.979,-1.727
0.008,112000000,4.719148159,4.718,3.155,4.1898,3.667,1,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-3.119,-1.866,-1.976,-1.725
0.008,112000000,4.719421864,4.718,3.124,4.179,3.656,2,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-3.039,-1.849,-1.954,-1.714
0.008,112000000,4.719569683,4.719,3.111,4.1701,3.634,2,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-3.006,-1.869,-1.97,-1.738
0.008,112000000,4.719753265,4.719,3.107,4.1585,3.591,2,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-2.998,-1.929,-2.024,-1.804
0.008,112000000,4.719952107,4.719,3.116,4.1468,3.535,2,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-3.021,-2.02,-2.11,-1.902
0.008,112000000,4.720170021,4.719,3.13,4.135,3.474,2,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-3.055,-2.122,-2.207,-2.011
0.008,112000000,4.720402241,4.719,3.142,4.1232,3.414,2,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-3.086,-2.22,-2.3,-2.116
0.008,112000000,4.720643044,4.72,3.151,4.1113,3.358,2,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-3.108,-2.31,-2.385,-2.213
0.008,112000000,4.720889568,4.72,3.158,4.0993,3.304,2,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-3.124,-2.393,-2.461,-2.302
0.008,112000000,4.721138954,4.72,3.162,4.0874,3.252,2,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-3.135,-2.469,-2.532,-2.385
0.008,112000000,4.721387386,4.72,3.165,4.0754,3.201,2,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-3.141,-2.54,-2.597,-2.464
0.008,112000000,4.721632481,4.721,3.166,4.0634,3.152,2,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-3.145,-2.607,-2.659,-2.538
0.008,112000000,4.721871853,4.721,3.166,4.0513,3.103,2,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-3.146,-2.671,-2.716,-2.608
0.008,112000000,4.722103596,4.721,3.166,4.0393,3.055,2,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-3.145,-2.731,-2.77,-2.675
0.008,112000000,4.722326279,4.721,3.165,4.0272,3.008,2,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-3.141,-2.787,-2.82,-2.739
0.008,112000000,4.722538948,4.721,3.163,4.0151,2.962,2,0,0.538,0,0,-1,-1E-30,0,0.729,0.263,0.00142,0.0003876,0.003521,-1,0.008,-3.136,-2.84,-2.868,-2.801
